jahr,Planungsraum,Unnamed: 1,18-64 Jahre insgesamt,ab 65 Jahre insgesamt,18-64 Jahre Deutsche," je 100 der Bevölkerung1)
(ab 65 Jahre,
Deutsche",18-64 Jahre Ausländer,ab 65 Jahre Ausländer,"Bevölkerung
18 - 64 Jahre
insgesamt"," Bevölkerung
ab 65 Jahre
insgesamt","Empfänger
18 - 64 Jahre
insgesamt"," Empfänger
ab 65 Jahre
insgesamt","Bevölkerung
18 - 64 Jahre
Deutsche","Bevölkerung
ab 65 Jahre
Deutsche","Empfänger
18 - 64 Jahre
Deutsche"," Empfänger
ab 65 Jahre
Deutsche","Bevölkerung
18 - 64 Jahre
Ausländer","Bevölkerung
ab 65 Jahre
Ausländer","Empfänger
18 - 64 Jahre
Ausländer"," Empfänger
ab 65 Jahre
Ausländer",ab 65 Jahre Deutsche,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
2006,,Berlin,0.6776709102038257,3.4470190227205704,0.742954880641652,3.03,0.3497027794141273,10.814460197630885,2249617.0,603594.0,15245.0,20806.0,1876157.0,571008.0,13939.0,17282.0,373460.0,32586.0,1306.0,3524.0,,,,,,,,,,,,,,,
2007,,Berlin,0.7699682959472632,3.671611434843667,0.844912709319489,,0.3999545025301355,10.680343069077422,2244508.0,619510.0,17282.0,22746.0,1866465.0,584998.0,15770.0,19060.0,378043.0,34512.0,1512.0,3686.0,3.2581307970283655,,,,,,,,,,,,,,
2008,,Berlin,0.8457659534473037,4.054394121458815,0.9604935750331863,,0.4590426133598499,11.96782693107752,2319436.0,635804.0,19617.0,25778.0,1860710.0,599749.0,17872.0,21463.0,380139.0,36055.0,1745.0,4315.0,3.5786637409983175,,,,,,,,,,,,,,
2009,,Berlin,0.9340362132857934,4.247985323682842,0.9950744059070535,,0.6300618001918861,17.402948809983986,2231391.0,648119.0,20842.0,27532.0,1858253.0,611901.0,18491.0,21229.0,373138.0,36218.0,2351.0,6303.0,3.4693520683901484,,,,,,,,,,,,,,
2010,,Berlin,10171.83456666818,2296.582555838281,1.038172123306627,,0.7069234466075461,18.769912730295054,2240550.0,649841.0,22027.0,28296.0,1868091.0,613746.0,19394.0,21521.0,372459.0,36095.0,2633.0,6775.0,3.5064994313608557,,,,,,,,,,,,,,
2011,,Berlin,1.0438121851648905,4.59778237265848,1.107120242219136,,0.7394883180797348,18.705577172503244,2270236,650966,23697.0,29930.0,1879290,612416,20806.0,22719.0,390946,38550,2891.0,7211.0,3.709733253213502,,,,,,,,,,,,,,
2012,,Berlin,1.108302293087288,4.844865254131711,1.1845972082625909,,0.7610051942775892,18.66644020090748,2295944.0,658202.0,25446.0,31889.0,1882412.0,616989.0,22299.0,24196.0,413532.0,41213.0,3147.0,7693.0,3.92162583125469,,,,,,,,,,,,,,
2013,,Berlin,1.163878758362972,5.129281774583932,1.255816549161965,,0.7733157521596394,18.660923687533824,2324383.0,666838.0,27053.0,34204.0,1881485.0,622494.0,23628.0,25929.0,442898.0,44344.0,3425.0,8275.0,4.1653413526877365,,,,,,,,,,,,,,
2014,,Berlin,1.2216502552491615,5.261007956006243,1.3310206522209593,,0.7856353143925918,18.459162806226786,2340850.0,683006.0,28597.0,35933.0,1871421.0,635084.0,24909.0,27087.0,469429.0,47922.0,3688.0,8846.0,4.265105088460739,,,,,,,,,,,,,,
2015,,Berlin,1.2600576829604941,5.544876341455648,1.388185853955891,,0.7887522581054099,19.080871381677113,2361876.0,690854.0,29761.0,38307.0,1857028.0,640589.0,25779.0,28716.0,504848.0,50265.0,3982.0,9591.0,4.482749469628732,,,,,,,,,,,,,,
2016,,Berlin,1.2558321412815336,5.518537990308128,1.3978609237948014,,0.7745883681577264,18.997781696149254,2393632.0,699968.0,30060.0,38628.0,1848181.0,647225.0,25835.0,28608.0,545451.0,52743.0,4225.0,10020.0,4.420101201282398,,,,,,,,,,,,,,
2017,,Berlin,1.304035572814762,5.717863281729206,1.4594702916822575,,0.804606726868211,19.221766061653703,2414428.0,709181.0,31485.0,40550.0,1841353.0,653645.0,26874.0,29875.0,573075.0,55536.0,4611.0,10675.0,4.5705237552494085,,,,,,,,,,,,,,
2018,,Berlin,1.3355315770373302,5.900558170353089,1.50382460961599,,0.8235635760215724,19.08884375752986,2435884.0,715373.0,32532.0,42211.0,1833259.0,657271.0,27569.0,31120.0,602625.0,58102.0,4963.0,11091.0,4.734728901777197,,,,,,,,,,,,,,
2019,,Berlin,1.3587168983659947,6.075906209374073,1.5366085376421013,,0.8390371378672693,19.469772051536175,2442893.0,721522.0,33192,43839,1819917,660982,27965,32052,622976.0,60540,5227,11787,4.849148690887195,,,,,,,,,,,,,,
2020,,Berlin,1.5470495791793781,6.364220849280216,1.7761777040947044,,0.8904246445437506,20.382831384333965,,,,,,,,,,,,,5.070723084388478,,,,,,,,,,,,,,
2021,,Berlin,1.5348533196890985,6.693940529337837,2.729029181221951,,5.328658779742124,2.668695433295341,,,,,,,,,,,,,1.7682465920751023,0.89,21.45,2437171.0,723281.0,37407.0,48416.0,1791266.0,662024.0,31674.0,35277.0,645905.0,61257.0,5733.0,13139.0
